Griffith;Feuillade;Bauer;Sjostrom;Chaplin;Weber;Guy;Western;Terror;Scifi;Animacion;Origenes1;Origenes2;Origenes3;Italia;Dinamarca;Alemania;IGM;Todas
;;;;;;;The Oath of His Office;;;;Mardi Gras Carnival;Captain Deasy's Daring Drive, Ascent;The Coachwomen;;;Mitternacht;;The Conflict's End
;;;;;;;Widow Jenkins' Admirers;;;;Cortège du Carnaval de Bâle, V;Dutch Fishing Fleet;Les faux monnayeurs;;;Kameraden;;Mr. Smith, Barber
;;;;;;;The Tenderfoot Foreman;;;;Cortège du Carnaval de Bâle, III;Koninklijk jacht tijdens de vissersvlootrevue bij Muiden;Les chiens policiers;;;Pro domo;;The Pest
;;;;;;;A Child of the West;;;;Saut de haies et course à l'hippodrome de Schützenmatte à Bâle;The Giddy Dancing Master;Le gendarme a du flair;;;Der letzte Tag;;Le matelas de la mariée
;;;;;;;The Girl Back East;;;;Saut de haies par des militaires à l'hippodrome de Schützenmatte à Bâle;Swimming Not Possible;Le coucher de la mariée;;;Finland;;Kindling
;;;;;;;Broncho Billy and the Vigilante;;;;Exercices de tir;Coolie Boys Diving for Coins;Le cake-walk forcé;;;Vergebens;;Brewster's Millions
;;;;;;;Broncho Billy's Brother;;;;Mise en place d'une batterie;Willie´s Camera;La planche;;;Der Volontär;;Parade of Buffalo Bill's Wild West Show, No. 1
;;;;;;;Broncho Billy's Vengeance;;;;Suisse: Exercices de tir par l'artillerie;Dorothy's Dream;La course des belles-mères;;;Die blaue Maus;;L'uragano
;;;;;;;Broncho Billy's Teachings;;;;Promenade au Mont de Baulmes;The Little Doctors;La course au parasol;;;Fürstenliebe;;Monsieur Clown Among the Lilliputians
;;;;;;;The Forester's Plea;;;;Jeux à la campagne;The Flying Train;Moir-Burns Boxing Match;;;Die roten Schuhe;;The Call of the Wild
;;;;;;;A Western Redemption;;;;Children Dancing with Barrel Organ;St. John's Guild. Crippled Children to and from Wagon;La chasse à l'automobiliste;;;Florentinische Nächte;;The Cheyenne's Bride
;;;;;;;The Sheriff's Decision;;;;Brighton Seagoing Electric Car;Laborers in Victorian England;La ceinture magnétique;;;Der Schreiber und die Biene;;Did'ums Diddles The P'liceman
;;;;;;;Broncho Billy's Secret;;;;Corpus Christi Procession, Orvieto;Le Cake-Walk: Final;Jealousy and Madness;;;Der Nähkasten;;Stronger than Sherlock Holmes
;;;;;;;Broncho Billy's Squareness;;;;Annie G. Galloping;Négrillons;Grandeur et décadence d'un chapeau;;;Sekt-Zauber;;Saut à la couverte
;;;;;;;The Power of Good;;;;McKinley and Hobart Parade at Canton, O.;Foottit et Chocolat, II. Acrobates sur la chaise;Bury St. Edmunds Pageant;;;Tanz der Flaschen (Kupferberg Gold);;MacNab's Visit to London
;;;;;;;The Indian Maid's Sacrifice;;;;De Brandweer-film te Delft;Foottit et Chocolat, I. Boxeurs;L'incendiaire;;;Tanz der Flaschen (Maggi);;Hairdresser of Love
;;;;;;;The Millionaire and the Squatter;;;;Zwemplaats voor Jongelingen te Amsterdam;Street Traffic in Front of Mickiewicz’s Monument;Trois sous de poireaux;;;Die Suppe;;Max Skiing
;;;;;;;The Puncher's Law;;;;Spelende kinderen;A Busy Day for the Corset Models;Richesse d'un jour;;;Die Korsett-Anprobe;;New York, Broadway
;;;;;;;Broncho Bill's Last Spree;;;;Gestoorde hengelaar;Carriers Leaving Building, U.S.P.O. (No. 2);Refugees in Camp in Jefferson Square;;;Bitte um die Hand Ihrer Tochter;;Come Cretinetti paga i debiti
;;;;;;;A Western Girl's Sacrifice;;;;Arrival of a Two-Stage Train in France;Jeffries Throwing the Medicine Ball;Pitou amoureux;;;Die Czardasfürstin;;Into the Desert
;;;;;;;Spike Shannon's Last Fight;;;;The Card Game;Jeffries Sparring with His Brother;Parade des sultans;;;Forger's Doom;;The Eternal Sapho
;;;;;;;A Pal's Oath;;;;The Coney Island Bikers;Jeffries Skipping the Rope;Mésaventures de chasse;;;Die Sünden der Väter;;The She Devil
;;;;;;;The Cattle King's Daughter;;;;Vistas de Palermo;Jeffries Side Stepping and Wrestling;Les six galants dragons;;;Ulk im Film;;The Lion's Den
;;;;;;;The Outlaw Samaritan;;;;Short Stick Dance;Jeffries Exercising in His Gymnasium;Les mésaventures d'un tonneau;;;Die Goldquelle;;The Boss of the Rancho
;;;;;;;The Backwoodsman's Suspicion;;;;Silver Dance;A Trip Through Paris, France in The 1890s;Les malheurs de monsieur Ducornard;;;Die Claudi vom Geiserhof;;Telltale Reflections
;;;;;;;Broncho Billy-Guardian;;;;Dance of Rejoicing;A Dance on the Pike;Les malheurs de Madame Durand;;;Die Kinder des Majors;;Fun After the Wedding
;;;;;;;The Corporation and the Ranch Girl;;;;Paddle Dance;The Pajama Dance;Les gaietés du divorce;;;Leichtsinn und Genie;;Satan's Protégé
;;;;;;;At the Break of Dawn;;;;Fred Ott’s Gestures;A Couple of Lightweights at Coney Island;Les frères rivaux;;;Prinzessin Tatjana's Tragödie;;The Fairy of Spring
;;;;;;;The Hidden Mine;;;;Woman Turning And Walking Upstairs;Scenes by the Stone Jetty, Morecambe;Le détective;;;Pogrom;;The In-Law
;;;;;;;Broncho Billy and the Bad Man;;;;The Midnight Son;Morecambe Pier;Le choix d'une bonne;;;Maria Pawlowna;;Sherlock Holmes in the Great Murder Mystery
;;;;;;;The Lucky Card;;;;Paris: firefighters, I. Passage of the pumps;Morecambe Promenade & Winter Gardens;La scuola di cavalleria Tor di Quinto;;;Die Insel der Glücklichen;;Twin Brothers
;;;;;;;The Puncher's New Love;;;;Two deer jumping;Parade on Morecambe Central Pier;La jeteuse de sorts;;;Das Buch Esther;;Bébé's Masterpieces
;;;;;;;The Bunco Game at Lizardhead;;;;Two dogs racing;West End Pier, Morecambe;La désespérée;;;Fünf Minuten zu spät;;L'Impératrice mère et la grande-duchesse Eugénie en carrosse
;;;;;;;The Bad Man's First Prayer;;;;Two Men Boxing;Parade on West End Pier, Morecambe;Histoire d'un pantalon;;;Der Eisenbahnmarder;;The Polish Dancer
;;;;;;;Broncho Billy and the Red Man;;;;Two men fencing;Une noce à bicyclette;Cache-toi dans la malle !;;;Die sterbende Salome;;The Persistent Salesman
;;;;;;;The Sheriff's Chum;;;;Two women sitting on the ground and smoking;A Good Time with the Organ Grinder;Boireau déménage;;;Clown Charly;;Max Makes a Touch
;;;;;;;Across the Plains;;;;Women are passing each other by;The Regret;Luzern und der Vierwaldstätter See;;;Ehre;;Old Heidelberg
;;;;;;;The Romance on 'Bar O';;;;A gymnast performing on the rings;The Heathen Chinese and the Sunday School Teachers;Les voleurs d'enfants;;;The Woman House of Brescia;;The Barges
;;;;;;;The Outlaw and the Child;;;;A double amputee climbing on to a chair, descending from a chair;The Coney Island Beach Patrol;Les farces de Toto Gâte-Sauce;;;"Der Erbe von ""Het Steen""";;The Little Patriot From Padua
;;;;;;;The Sheepman's Daughter;;;;A gargantuan woman getting up off the ground;Sliding Down Ice Mound at Niagara Falls;Les étrennes du facteur;;;Hedda Vernon's Bühnensketch;;The Return of the Victorious Serbian Army
;;;;;;;The Cattleman's Daughter;;;;Sunderland;Sir Hiram Maxim's Captive Flying Machines;Les cartes lumineuses;;;Die Gespensteruhr;;His Brother's Wife
;;;;;;;Broncho Billy's Bible;;;;Puwente de España;Perroquets savants;Le physician mal recompense;;;Heimgekehrt;;An Awful Moment
;;;;;;;Carmenita the Faithful;;;;Panorama de Manila;Lahury réserviste;Le nihiliste;;;The Sign of the Star;;The Floor Below
;;;;;;;The Two Reformations;;;;Sunday in Binondo;Boxing Horses Luna Park, Coney Island;Le braconnier;;;The Tango Queen;;The Unemployed Photographer
;;;;;;;The Border Ranger;;;;Women Washing Clothes;Tub Race;Building a British Railway Arrival of the Scotch Express at Rugby;;;Wie sie sich wiederfanden;;Santa
;;;;;;;The Mexican's Faith;;;;Fiesta de Quiapo;The Outcast and the Bride;Odyssée d'un paysan à Paris;;;Kaiser Wilhelm II. beim Besuche der Vulkan-Werft in Stettin am 4. Mai 1897;;Out of the Fog
;;;;;;;The Inference of Broncho Billy;;;;Intramuros;Smashing a Jersey Mosquito;Vendetta;;;Das Laster;;The Road to Ruin
;;;;;;;The Count and the Cowboys;;;;Bamboo Dancers;Pope Leo XIII in His Carriage;Vot'permis. Viens l'chercher!;;;Prinz Kuckuck;;The Plague in Florence
;;;;;;;A Gambler of the West;;;;Escenas Callejeras;C'est complet!;Carnaval em Curitiba;;;Der Wilderer;;The Fear of Zeppelins
;;;;;;;Broncho Billy Well Repaid;;;;Man walking downstairs carrying a basket;A Shocking Accident;Briton and Boer;;;Der Wilderer;;Jerusalem Delivered
;;;;;;;The Bad Man's Christmas Gift;;;;Woman Enjoying a Smoke;Christening and Launching Kaiser Wilhelm's Yacht 'Meteor';Hunting Big Game in Africa;;;Bummelstudenten;;Struggle for Life
;;;;;;;The Tenderfoot Messenger;;;;Large Woman Walking;Target Practice, and What Happened to Widow Flaherty;The Lady With the Camelias;;;Monsieur Pyp als Champignonzüchter;;The Detectress
;;;;;;;Broncho Billy's True Love;;;;A man walking up stairs;All on Account of Eliza;Torquato Tasso;;;Papa will verduften;;Attila
;;;;;;;A Western Woman's Way;;;;Naked man performing a wrestling lock;Two Rubes at the Theatre;Le fer à cheval;;;Der stumme Zeuge;;The Kaiser, the Beast of Berlin
;;;;;;;The Little Prospector;;;;Woman Playing Lawn Tennis;L'eau merveilleuse;Coach Transport;;;Das lebende Rätsel;;The Black Diamond
;;;;;;;The Marked Trail;;;;Two naked men wrestling;Deaf Mute Recitation;A Ride through Prague in an Open Tram;;;The Devil's Eye;;Mrs. Pussy Loves Animals
;;;;;;;The Silent Message;;;;A Man Lifting a Trunk;Surrender of Kroonstad to Lord Roberts;Jubilee Celebration of the Prague Municipal Corps;;;Die Millionenmine;;Going Up
;;;;;;;Pals of the Range;;;;Nude man playing baseball, batting;Shelling the Red Cross;Anniversary Exhibition of the Chamber of Trade and Commerce in 1908 in Prague;;;Teddy als Ehestifter;;A Drunkard's Reformation
;;;;;;;A Cowboy's Mother-in-Law;;;;A Man Walking;In a Chinese Restaurant;Field Mass at Old Town Square;;;Purzel als Schornsteinfeger;;Behind the Door
;;;;;;;The Bearded Bandit;;;;A man running;A Morning Wash;Parade of Delegations in Traditional Costumes;;;Luny als Chinese;;Klebolin Sticks to Everything
;;;;;;;Patricia of the Plains;;;;A man throwing a ball.;Barrack Blossoms;The First Day of the Spring Races of Prague;;;Der Fall Hirn;;The Active Life of Dolly of the Dailies #5: The Chinese Fan
;;;;;;;Broncho Billy's Strategy;;;;Eadweard Muybridge using a pickaxe;The Wrong Door;Celebratory and Everyday Scenes from the Exhibition Grounds;;;Die Hochzeit im Excentricclub;;Call for Mr. Caveman
;;;;;;;The Pony Express Rider;;;;A man bearing load on shoulder;Algiers-Koléa Line: Tunnel of Point Pescade;Opening Ceremony of the Čech Bridge;;;Die Peitsche;;Panoramic View of Boston Subway from an Electric Car
;;;;;;;An Indian Girl's Love;;;;Man batting;Postman Picking up Mail;Sokol Rally in Prostějov;;;Der Trompeter von Säckingen;;The Pickpocket
;;;;;;;Broncho Billy and the Schoolmam's Sweetheart;;;;Lawn tennis, serving;The Bathers;Opening of the Exhibition in the Presence of the Prague Mayor;;;Die Frau im Käfig;;La nuova cameriera è troppo bella
;;;;;;;The Deputy's Love;;;;Rowing Man;Skating on Lake, Central Park;Consecration Ceremony for the Foundation Stone of the Jubilee Church of St. Anthony in Prague VII;;;Halkas Gelöbnis;;Les timidités de Rigadin
;;;;;;;The Dumb Half Breed's Defense;;;;Visit of Doña Cristina and Don Alfonso XIII to Barcelona;In a Bamboo Hut;Fifth All-Sokol Rally in Prague;;;Purzel als Tennisspieler;;Steam Hammer
;;;;;;;Under Western Skies;;;;Clash of Two Transatlantic Ships;The Departure of the Second Contingent for the Boer War;Dead Souls;;;Eri Schuhpaste;;Blackburn Rovers V. West Bromwich
;;;;;;;The Desperado;;;;The Greetings;Cake Walk;Vanka the Steward;;;Ein moderner Brutkasten;;Wounded Soldiers Embarking in Row Boats
;;;;;;;Trailed to the Hills;;;;Unloading of Coal;Policeman and Burglar;Krechinsky's Wedding;;;Madame d'Ora;;Il Finto Storpio
;;;;;;;The Unknown Claim;;;;Matadero and Exit of Workers;A Photograph Taken From Our Area Window;Good evening, flowers!;;;Colomba;;Butterfly Dance
;;;;;;;The Forest Ranger;;;;Disembarkation of the Wounded from Cuba in our Harbour;The Dull Razor;Whence Does He Come?;;;Das große Schweigen;;Baignade de nègres
;;;;;;;The Bandit's Wife;;;;Storm at Riazor;Two Old Sports;Les apaches de Paris;;;Das Buch des Lasters;;Départ de S. M. le Roi et de M. le Président pour la chasse à Rambouillet
;;;;;;;The Ranchman's Feud;;;;Plaza de Mina y Orzán;Scandal Over the Teacups;Rice Festival in Kyoto;;;Unverstanden - Die Tragödie eines Kindes;;Transport de la cloche de l'indépendance
;;;;;;;Away Out West;;;;Coal Factory;L’antre infernal;Japanese Festival;;;Die Brüder von Zaarden;;Nice : Sa Majesté Carnaval et le char des Limonadiers
;;;;;;;The Brother, Sister and the Cowpuncher;;;;San Jorge, Exit of the Mass;The Harry-Alaska in the Chinese Restaurant;Japanese Dancers and Japanese Stave Duel;;;Du sollst keine anderen Götter haben;;Venice Showing Gondolas
;;;;;;;The Cowpuncher's Ward;;;;Burial of Gral. Sánchez Bregua;Demonstrating the Action of the Chicago Pneumatic Shell Riveters on the Underside of the Hull of a Steel Vessel. Taken for the Chicago Pneumatic Tool Co.;Katsura River, Picturesque Japan;;;Herr und Diener;;Droppington's Family Tree
;;;;;;;The Sheriff's Sacrifice;;;;Rats and Weasel;Funerali di Giuseppe Verdi a Milano;Buffon Dance;;;Forget About Luck;;Krazy and Ignatz Discuss the Letter 'G'
;;;;;;;A Vein of Gold;;;;Rats and Terrier No. 3;Défense d'afficher;Rochdale Tram Ride;;;Outlawed;;The Iron Teeth
;;;;;;;The Cowboy's Sweetheart;;;;Chez le Photographe;The Animated Poster;Nurses' Strike;;;Adressatin verstorben;;Hawthorne of the U.S.A.
;;;;;;;The Mistaken Bandit;;;;La Korrigane;Carriers Leaving Building, U.S.P.O.;At the Seaside;;;Der weiße Schleier;;A Romany Spy
;;;;;;;The Ranger's Bride;;;;Le cygne;Pull Down the Curtain, Susie;Cretinetti ficcanaso;;;Isaak, der Handelsjude;;Thunderbolt
;;;;;;;The Faithful Indian;;;;Danse Louis XV;Little Miss Lillian;Aufblase-Akt mit Luftpumpen;;;Amt Zukunft;;David Harum
;;;;;;;A Ranchman's Wooing;;;;La Reve;Pilot Leaving 'Prinzessen Victoria Luise' at Sandy Hook;Chomón : màgies, pòcimes i fades;;;Das Spitzentuch der Fürstin Wolkowska;;The Broken Violin
;;;;;;;The Girl and the Fugitive;;;;Le Cid;Day at the Circus;Fox Hunting;;;Das geborgte Leben;;The Express Sculptor
;;;;;;;The Fence on 'Bar Z' Ranch;;;;Le Troupier Pompette;'Columbia' and 'Shamrock II': Turning the Outer Stake Boat;The Arlberg Railway;;;Der Knute entflohen;;The Village Blind Man
;;;;;;;The Ranch Girl's Legacy;;;;Une poule introduite dans un concert;Living Pictures;The Judge's Ward;;;Die Geächteten;;Games of Youth
;;;;;;;Broncho Billy and the Navajo Maid;;;;Duo;'Reliance' and 'Shamrock III' Jockeying and Starting in First Race;The Magic Bag;;;Der Seelenverkäufer;;A Mix-Up in the Gallery
;;;;;;;Broncho Billy's Mistake;;;;Pourquoi garder ton coeur?;Sleighing in Central Park, New York;Holger the Dane;;;Die tolle Heirat von Laló;;Tom, Tom, the Piper's Son
;;;;;;;Broncho Billy Reforms;;;;Fleur de l'ame;Steamscow 'Cinderella' and Ferryboat 'Cincinnati';Jamestown Exposition International Naval Review, Hampton Roads, Virginia;;;Ernst ist das Leben;;The Fugitive Apparitions
;;;;;;;Broncho Billy and the Rattler;;;;Ma cousine;'Reliance' vs. 'Shamrock' III, Aug. 20;The Mission;;;Die Pagode;;The Witch's Revenge
;;;;;;;Alkali Ike's Pants;;;;Train Load of C.I.V.s Leaving Southampton;Falkenberg Market;Shot for Looting;;;Die Erbschaft von New York;;Automobile Accident
;;;;;;;The Cowboy and the Squaw;;;;Amsterdam Central Station;The Maasbrug in Rotterdam;Panorama of Market Street, the City Hall, Taken from the Roof of the U.S. Mint;;;Das ewige Rätsel;;The Mysterious Box
;;;;;;;The Outlaw's Sacrifice;;;;Funeral Procession in Rome;The Puzzled Bather and His Animated Clothes;Vanderbilt Cup 1906;;;Fräulein Zahnarzt;;Neptune's Daughters
;;;;;;;Won by a Hold-Up;;;;Vienna;Panorama of the Paris Exhibition No. 3;Scenes in San Francisco (No. 2);;;Bull Arizona;;Bech Olsens og Poul Pons' brydekamp
;;;;;;;A Western Maid;;;;Ostrich Running;Visit to Pompeii;Maiskaya noch, ili utoplennitsa;;;Die von der Liebe leben;;Pilot Boats in New York Harbor
;;;;;;;The Heart of a Cowboy;;;;99e régiment d’infanterie : anneaux et trapèze;Rock Drill at Work in Subway;La jeunesse de Vidocq ou Comment on devient policier;;;Ich klage an;;Statue of Liberty
;;;;;;;The Spanish Girl;;;;Sortie de fabrique;15th Infantry;Avelino Viamonte;;;Das Caviar-Mäuschen;;Trained Cavalry Horses
;;;;;;;The Ranchman's Rival;;;;Cinematographic Studies Carried out on Impatiens, Vicia, Tulipa, Mimosa and Desmodium by W. Pfeffer (1898-1900);In the Photographer's House;长坂坡;;;Du meine Himmelskönigin;;Brandvæsenet rykker ud
;;;;;;;Judgment;;;;The Prince of Darkness;L'Illusionniste fin de siècle - Remake;Stealing the Roast Duck;;;Der Weg, der zur Verdammnis führt 1. Teil - Das Schicksal der Aenne Wolter;;S.S. 'Coptic' at Dock
;;;;;;;The Best Man Wins;;;;A Midnight Episode;The Misadventures of Mr. Boit-Sans-Soif;Scenes at Creusot's Steel Foundry;;;Bergsünden;;Entrée d'une noce à l'église
;;;;;;;The Indian Trailer;;;;The Haunted House;Les miracles du Brahmine;Faldgruben;;;Leuchtende Punkte;;Scaphandrier
;;;;;;;A Mexican's Gratitude;;;;Ostriches Running, No. 1;The Flying Woman;Love and Fortune;;;Irrwege der Liebe;;Le Voleur invisible
;;;;;;;A Tale of the West;;;;Bull Fight, no. 3;Benvenuto Cellini or A Curious Evasion;Robin Hood and His Merry Men;;;Ihr großes Geheimnis;;Slippery Jim
;;;;;;;The Road Agents;;;;Les congierges;The Escaped Lunatic;The Complice;;;Der Geheimsekretär;;How Bumptious Papered the Parlor
;;;;;;;The Life of an American Cowboy;;;;Les démolisseurs;Scrambling for Eggs;Ruth Et Boaz;;;Der gestreifte Domino;;The Oath and the Man
;;;;;;;The Bandit Makes Good;;;;Children Playing on the Beach at Rhyl;Queen Victoria's Visit to Dublin;La Fille De L’armateur;;;Das Wunder der Madonna;;King Lear
;;;;;;;Western Justice;;;;Le Rotisseur;Kitty Mahone;La Confession;;;Erblich belastet;;The Colleen Bawn
;;;;;;;A Brush Between Cowboys and Indians;;;;Les Bulles de Savon;General Bartolomé Mitre  Visits the History Museum;Jealous Wife;;;Die Sieger;;Through Darkening Vales
;;;;;;;When a Man Sees Red;;;;L'Équilibriste;Panorama of Grand Harbour, Malta, Showing Battleships, Etc.;Susan Tastes Our Wine;;;Mirko Pasqua;;The Little Girl Next Door
;;;;;;;The Cowboy and the Rajah;;;;Le Jongleur;Prestwych Platform Scene;Les Trois Phases De La Lune;;;Maskierte Liebe;;The Christmas Miracle
;;;;;;;Cupid's Roundup;;;;Les Chiens Savants;The Barber Saw the Joke;Napo Torriano;;;Maria Evere;;24th Mountain Infantry: Boxing Lesson
;;;;;;;Brother Bill;;;;Le Steeple-chase;Ladysmith – Naval Brigade Dragging 4.7 Guns into Ladysmith;Sœur Angélique;;;Peer Gynt - 2. Teil: Peer Gynts Wanderjahre und Tod;;The Fall of Troy
;;;;;;;When Pals Fall Out;;;;La Nageuse;Gordon Highlanders in Ladysmith;Mare Tempestoso;;;Das unheimliche Haus;;Glissade sur la neige
;;;;;;;Shackles of Fate;;;;Le Repas des Poulets;Battle of Spion Kop: Ambulance Corps Crossing the Tugela River;The Gentleman Thief;;;The Dance of Death;;A Lively Affair
;;;;;;;The Puncher and the Pup;;;;Le Fumeur;Four Warships in Rough Seas;The Priest's Devotion;;;Siegerin Weib;;The Struggle
