Title,Year,Review
The Great Beauty,2013,4 puntos con 1 menciones
The Hart of London,1970,4 puntos con 1 menciones
The Inner Scar,1972,4 puntos con 1 menciones
The Lighted Field,1987,4 puntos con 1 menciones
The Lovers on the Bridge,1991,4 puntos con 1 menciones
The Moon in the Gutter,1983,4 puntos con 1 menciones
The Stone Tape,1972,4 puntos con 1 menciones
The Sun Shines Bright,1953,4 puntos con 1 menciones
The Tales of Hoffmann,1951,4 puntos con 1 menciones
"The Tree, the Mayor and the Mediatheque",1993,4 puntos con 1 menciones
The Unchanging Sea,1910,4 puntos con 1 menciones
The Woman Who Ran,2020,4 puntos con 1 menciones
Three Colors: Red,1994,4 puntos con 1 menciones
Three Comrades,1938,4 puntos con 1 menciones
Trust,1990,4 puntos con 1 menciones
Two Cents Worth of Hope,1952,4 puntos con 1 menciones
Unstoppable,2010,4 puntos con 1 menciones
Whisper of the Heart,1995,4 puntos con 1 menciones
Yellow Sky,1948,4 puntos con 1 menciones
Zorns Lemma,1970,4 puntos con 1 menciones
‘Rameau’s Nephew’ by Diderot (Thanx to Dennis Young) by Wilma Schoen,1974,4 puntos con 1 menciones
Chinatown,1974,3 puntos con 3 menciones
Cría cuervos…,1976,3 puntos con 3 menciones
Illuminated Texts,1982,3 puntos con 3 menciones
Island of Loves,1982,3 puntos con 3 menciones
Letter from an Unknown Woman,1948,3 puntos con 3 menciones
The House Is Black,1963,3 puntos con 3 menciones
12 Angry Men,1957,3 puntos con 2 menciones
A Perfect World,1993,3 puntos con 2 menciones
Blissfully Yours,2002,3 puntos con 2 menciones
Casablanca,1942,3 puntos con 2 menciones
Chet Baker: Let's Get Lost,1988,3 puntos con 2 menciones
Chilly Scenes of Winter,1979,3 puntos con 2 menciones
Come and See,1985,3 puntos con 2 menciones
Day of the Outlaw,1959,3 puntos con 2 menciones
Double Indemnity,1944,3 puntos con 2 menciones
Eight Hours Don’t Make a Day,1972,3 puntos con 2 menciones
Eternal Sunshine of the Spotless Mind,2004,3 puntos con 2 menciones
Green Snake,1993,3 puntos con 2 menciones
Gummo,1997,3 puntos con 2 menciones
