,Pos,Titulo,Anio,url,Puntos
256,7,Early Summer,1951,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,3
257,8,Ugetsu,1953,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,3
258,9,An Autumn Tale,1998,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,3
259,10,Children in the Wind,1937,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,2
260,11,The Song of Bernadette,1943,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,2
261,12,Stars in My Crown,1950,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,2
262,13,The Long Gray Line,1955,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,2
263,14,Vertigo,1958,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,2
264,15,"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",1975,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,2
265,16,Grass,2018,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,2
266,17,Love Me Tonight,1932,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,1
267,18,The Awful Truth,1937,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,1
268,19,The Ghost and Mrs. Muir,1947,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,1
269,20,Ride Lonesome,1959,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,1
270,21,PlayTime,1967,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,1
271,22,Céline and Julie Go Boating,1974,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,1
272,23,Four Adventures of Reinette and Mirabelle,1987,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,1
273,24,Pulse,2001,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,1
274,25,In Front of Your Face,2021,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,1
275,1,Good Morning,1959,https://letterboxd.com/marioquema/list/top-filmtuiter/detail,5
276,2,Man with a Movie Camera,1929,https://letterboxd.com/marioquema/list/top-filmtuiter/detail,4
277,3,La Jetée,1962,https://letterboxd.com/marioquema/list/top-filmtuiter/detail,4
