url_peli,Title,Year,tmdb_type,tmdb_id
/film/depression-focus-please/,Depression Focus Please,1984,movie,471813.0
/film/guinea-pig-mermaid-in-the-manhole/,Guinea Pig: Mermaid in the Manhole,1988,movie,32292.0
/film/homecomings/,Homecomings,1987,movie,751074.0
/film/jumping/,Jumping,1984,movie,47217.0
/film/pestonjee/,Pestonjee,1988,movie,249914.0
/film/shocker/,Shocker,1989,movie,12521
/film/the-dream-1987/,The Dream,1987,movie,331120.0
/film/the-eighties/,The Eighties,1983,movie,136053.0
/film/the-little-mermaid/,The Little Mermaid,1989,movie,10144.0
/film/the-satin-slipper/,The Satin Slipper,1985,movie,132799.0
/film/the-toxic-avenger/,The Toxic Avenger,1984,movie,15239.0
/film/crossing-delancey/,Crossing Delancey,1988,movie,27397.0
/film/excalibur/,Excalibur,1981,movie,11527.0
/film/leila-and-the-wolves/,Leila and the Wolves,1984,movie,273854.0
/film/mishima-a-life-in-four-chapters/,Mishima: A Life in Four Chapters,1985,movie,27064.0
/film/rocio/,Rocío,1980,movie,288893.0
/film/the-emperors-naked-army-marches-on/,The Emperor's Naked Army Marches On,1987,movie,51929.0
/film/the-long-riders/,The Long Riders,1980,movie,14729.0
/film/yellow-earth/,Yellow Earth,1984,movie,92990.0
/film/all-the-marbles/,...All the Marbles,1981,movie,30709.0
/film/altered-states/,Altered States,1980,movie,11542.0
/film/brasil/,Brasil,1981,movie,195919.0
/film/caravaggio/,Caravaggio,1986,movie,20537.0
/film/carmen-1983/,Carmen,1983,movie,42106.0
/film/de-onvoltooide-tulp/,De Onvoltooide Tulp,1980,movie,523485.0
/film/dead-mans-letters/,Dead Man's Letters,1986,movie,73920.0
/film/five-year-diary-reel-23-a-breakdown-and-after-the-mental-hospital-september-1-december-13-1982/,"Five Year Diary, Reel 23: A Breakdown (and) After the Mental Hospital (September 1–December 13, 1982)",1982,movie,543537.0
/film/from-the-reports-of-security-guards-patrol/,From the Reports of Security Guards & Patrol Services No.1,1985,movie,325005.0
/film/gloria/,Gloria,1980,movie,10889.0
/film/harry-son/,Harry & Son,1984,movie,91767.0
/film/hotel-terminus-the-life-and-times-of-klaus-barbie/,Hôtel Terminus: The Life and Times of Klaus Barbie,1988,movie,41954.0
/film/i-love-it-from-behind/,I Love It from Behind!,1981,movie,147958.0
/film/liberty-at-night/,Liberty at Night,1984,movie,110743.0
/film/local-hero/,Local Hero,1983,movie,11235.0
/film/love-women-and-flowers/,"Love, Women and Flowers",1988,movie,713083.0
/film/mississippi-burning/,Mississippi Burning,1988,movie,1632.0
/film/movie-dementia/,Movie Dementia,1986,movie,167468.0
/film/my-dinner-with-andre/,My Dinner with Andre,1981,movie,25468.0
/film/once-more-1988/,Once More,1988,movie,187602.0
/film/parsifal/,Parsifal,1982,movie,176167.0
/film/piece-touchee/,Pièce touchée,1989,movie,93481.0
/film/grandeur-and-decadence-of-a-small-time-filmmaker/,Rise and Fall of a Small Film Company,1986,movie,271799.0
/film/the-ballad-of-narayama/,The Ballad of Narayama,1983,movie,42113.0
/film/the-book-of-mary/,The Book of Mary,1985,movie,213115.0
/film/a-midsummer-nights-sex-comedy/,A Midsummer Night's Sex Comedy,1982,movie,8288.0
/film/a-pool-without-water/,A Pool Without Water,1982,movie,64527.0
/film/an-american-tail/,An American Tail,1986,movie,4978.0
/film/bad-timing/,Bad Timing,1980,movie,33214.0
/film/boat-people/,Boat People,1982,movie,72445.0
