Title,Year,Review
Messages,1984,8 puntos con 3 menciones
The Home and the World,1984,8 puntos con 3 menciones
BU・SU,1987,8 puntos con 2 menciones
Cada ver es...,1983,8 puntos con 2 menciones
Después de… Primera parte: no se os puede dejar solos,1981,8 puntos con 2 menciones
Mati Manas,1985,8 puntos con 2 menciones
Mommie Dearest,1981,8 puntos con 2 menciones
Out of Africa,1985,8 puntos con 2 menciones
The Plague Dogs,1982,8 puntos con 2 menciones
The Water of the Seine,1983,8 puntos con 2 menciones
Dangerous Liaisons,1988,7 puntos con 4 menciones
The Long Good Friday,1980,7 puntos con 4 menciones
A Room in Town,1982,7 puntos con 3 menciones
A Tale of the Wind,1988,7 puntos con 3 menciones
As Tears Go By,1988,7 puntos con 3 menciones
Dangerous Encounters of the First Kind,1980,7 puntos con 3 menciones
Gremlins,1984,7 puntos con 3 menciones
Modern Romance,1981,7 puntos con 3 menciones
Sacrificed Youth,1985,7 puntos con 3 menciones
Spelling Love,1984,7 puntos con 3 menciones
Story of Women,1988,7 puntos con 3 menciones
The King of Comedy,1982,7 puntos con 3 menciones
The Ravishing of Frank N. Stein,1982,7 puntos con 3 menciones
To Sleep So as to Dream,1986,7 puntos con 3 menciones
Alaya,1987,7 puntos con 2 menciones
Alix's Pictures,1982,7 puntos con 2 menciones
Audience,1983,7 puntos con 2 menciones
Blood Wedding,1981,7 puntos con 2 menciones
Hardly Working,1980,7 puntos con 2 menciones
Keep in Touch,1987,7 puntos con 2 menciones
Pokkuveyil,1982,7 puntos con 2 menciones
Polyester,1981,7 puntos con 2 menciones
Raising Arizona,1987,7 puntos con 2 menciones
Scénario du film Passion,1982,7 puntos con 2 menciones
The Church,1989,7 puntos con 2 menciones
Visions in Meditation #1,1989,7 puntos con 2 menciones
Visions in Meditation #2: Mesa Verde,1989,7 puntos con 2 menciones
Day of the Dead,1985,6 puntos con 3 menciones
Manila by Night,1980,6 puntos con 3 menciones
Miracle Mile,1988,6 puntos con 3 menciones
Nocturne,1980,6 puntos con 3 menciones
Peking Opera Blues,1986,6 puntos con 3 menciones
The Crime of Cuenca,1980,6 puntos con 3 menciones
The Unbelievable Truth,1989,6 puntos con 3 menciones
Victor/Victoria,1982,6 puntos con 3 menciones
17 Reasons Why,1987,6 puntos con 2 menciones
A Nightmare on Elm Street,1984,6 puntos con 2 menciones
A Passage to India,1984,6 puntos con 2 menciones
Burst City,1982,6 puntos con 2 menciones
Cat Listening to Music,1988,6 puntos con 2 menciones
Cosmos: A Personal Voyage,1980,6 puntos con 2 menciones
Detective,1985,6 puntos con 2 menciones
Diaries,1981,6 puntos con 2 menciones
Dislocation,1986,6 puntos con 2 menciones
Dressed in Blue,1983,6 puntos con 2 menciones
Hellraiser,1987,6 puntos con 2 menciones
Medea,1988,6 puntos con 2 menciones
Monty Python's The Meaning of Life,1983,6 puntos con 2 menciones
Night on the Galactic Railroad,1985,6 puntos con 2 menciones
Pals,1982,6 puntos con 2 menciones
Pedicab Driver,1989,6 puntos con 2 menciones
Police Story,1985,6 puntos con 2 menciones
Psycho II,1983,6 puntos con 2 menciones
Recollections of the Yellow House,1989,6 puntos con 2 menciones
Spontaneous Combustion,1989,6 puntos con 2 menciones
The Boys from Fengkuei,1983,6 puntos con 2 menciones
The Horse Thief,1986,6 puntos con 2 menciones
