;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
0;The Birth of a Nation;The Vampires or, The Arch Criminals of Paris;Twilight of a Woman's Soul;A Man There Was;;Suspense.;The Cabbage-Patch Fairy;The Great Train Robbery;Dante's Inferno;A Trip to the Moon;Fantasmagorie;Workers Leaving the Lumière Factory;The Life and Passion of Jesus Christ;Fantasmagorie;Cabiria;The White Slave Trade;The Student of Prague;Shoulder Arms
1;Intolerance: Love's Struggle Throughout the Ages;Fantômas;After Death;Ingeborg Holm;;Where Are My Children?;Falling Leaves;The Squaw Man;Frankenstein;The Impossible Voyage;Gertie the Dinosaur;Roundhay Garden Scene;A Trip to the Moon;The Black Imp;Dante's Inferno;The Abyss;The Golem;National Red Cross Pageant
2;The Musketeers of Pig Alley;Judex;The Dying Swan;The Outlaw and His Wife;;Tarzan of the Apes;Algie, the Miner;Hell's Hinges;The Haunted Castle;Frankenstein;Sallie Gardner at a Gallop;The Sprinkler Sprinkled;The Great Train Robbery;Dream of a Rarebit Fiend;Satan's Rhapsody;Atlantis;I Don't Want to Be a Man;Till I Come Back to You
3;A Corner in Wheat;The Illustrious Madman;A Life for a Life;The Girl from the Marsh Croft;;Hypocrites;The Consequences of Feminism;His Only Son;The Execution of Mary, Queen of Scots;20,000 Leagues Under the Sea;Poor Pierrot;The Arrival of a Train at La Ciotat;Alice in Wonderland;The Witch;The Capture of Roma;The Mysterious X;The Boxing Kangaroo;Cheyenne's Pal
4;The Lonedale Operator;Le Noël du poilu;Children of the Age;Children of the Streets;;The Troubadour's Triumph;The Tango;The Good Bad Man;A Nightmare;The Conquest of the Pole;The Cameraman's Revenge;The Astronomer's Dream;The Man with the Rubber Head;The Electric Hotel;Love Everlasting;Vera;Where Is My Treasure?;A.W.O.L.
5;The Sealed Room;Fantômas contre Fantômas;For Happiness;The Gardener;;Idle Wives;The Malagueña and the Bullfighter;Algie, the Miner;The Golem;The '?' Motorist;At the Dentist;Traffic Crossing Leeds Bridge;The Big Swallow;The Diabolic Tenant;Assunta Spina;A Trip to Mars;The Merry Jail;The Battle of the Somme
6;The Lonely Villa;The Margrave's Daughter;The King of Paris;The Price of Betrayal;;Scandal;The Ocean Waif;The Battle at Elderbush Gulch;Bluebeard;A Trip to Mars;Little Nemo;The Vanishing Lady;The One-Man Band;The Dancing Pig;Dante's Inferno;The Ballet Dancer;Hilde Warren and Death;A Page of Glory
7;The Unchanging Sea;The Agony of Byzantium;Daydreams;Sons of Ingmar;;The People vs. John Doe;Frozen on Love's Trail;The Massacre;The Infernal Cauldron;A Trip to Mars;The House of Ghosts;The Four Troublesome Heads;Life of an American Fireman;The House of Ghosts;Juve contre Fantômas;Manden med Arret;Das Tagebuch des Apothekers Warren;The Little Tin Soldiers
8;Those Awful Hats;The Dwarf;Child of the Big City;Kiss of Death;;Fine Feathers;The Fur Hat;Out West;The Sealed Room;The Mechanical Butcher;Humorous Phases of Funny Faces;Annabelle Serpentine Dance;The Kingdom of the Fairies;Humorous Phases of Funny Faces;Cretinetti re dei ladri;The Disturbed Sentry;Mr. Wu;On the Jump
9;Death's Marathon;The Heart and the Money;Kumiry;The Sea Vultures;;Shoes;Surprise Attack on a House at Daybreak;Exit of Rip and the Dwarf;A Terrible Night;Dr. Jekyll and Mr. Hyde;The Enchanted Drawing;The Haunted Castle;Bluebeard;The Merry Frolics of Satan;La ballata della strega;The Virtuous One;Wintergartenprogramm;The German Retreat and the Battle of Arras
10;Judith of Bethulia;Tih Minh;Nina;Bra flicka reder sig själv;;Even as You and I;The Lure;Bucking Broadway;The Devil in a Convent;The Electric Girl;How a Mosquito Operates;Baby's Meal;The Melomaniac;The Hilarious Posters;Blue Blood;Bokserparodi;Talarso, der Mann mit den grünen Augen;Battle Front in Britain
11;The Country Doctor;The Obsession;Tears;Prästen;;The Dumb Girl of Portici;The Dream Woman;As It Happened;Dr. Jekyll and Mr. Hyde;The Flying Torpedo;The Haunted Hotel;Sallie Gardner at a Gallop;The Infernal Cauldron;The '?' Motorist;Othello;The End of the World;Ahasver, 2. Teil;L'offensive française sur la Somme
12;The Girl and Her Trust;La Souris blanche;Vozmezdiye;Högfjällets dotter;;The Pursuit of Hate;Cook & Rilly's Trained Rooster;Broncho Billy and the Land Grabber;The House of Ghosts;The End of the World;Autour d’une cabine;Demolition of a Wall;Electrocuting an Elephant;The Haunted Hotel;Marc Antony and Cleopatra;King Frederik VIII's Arrival in Berlin;Im Schatten des Glücks;Functional-motor stimulus and paralysis in war participants and their healing through suggestion in hypnosis
13;Hearts of the World;Les deux gosses;Koroleva ekrana;Strejken;;The Flirt;Making an American Citizen;Broncho Billy and the Sheriff;Satan's Rhapsody;The End of the Homunculus;The Sinking of the Lusitania;The Kiss;The Mermaid;The Eclipse: Courtship of the Sun and Moon;Malombra;The Morphine Takers;Auf dornigen Pfaden;Transport of the U.T. Visitors' Christmas Warrior Donations
14;Mr. Jones Has a Card Party;Mais n'te promène donc pas toute nue;Chuzhaya dusha;Therèse;;Saving the Family Name;Faust and Mephistopheles;Broncho Billy's Ward;The Haunted Castle;The Revenge of the Homunculus;L'Homme Machine;Passage of Venus;The Infernal Cakewalk;The Palace of the Arabian Nights;The Last Days of Pompeii;Kampen om Kvinden;Ahasver, 1. Teil;Dík válečného sirotka
15;The New York Hat;Severo Torelli;Lina's Adventure in Sochi;The Ships That Meet;;The Price of a Good Time;The Burglars;A Ranch Widower's Daughters;The Merry Frolics of Satan;Excursion to the Moon;I'm Insured;Poor Pierrot;Joan of Arc;20,000 Leagues Under the Sea;Snowball Fight;En Død i Skønhed;The Great Moment;Women’s Munition Work
16;His Trust;The Letters;Lina under Examination, or the Turbulent Corpse;The Governor's Daughters;;The Merchant of Venice;Spain;His Reformation;After Death;The Artificial Man;Never Again! The Story of a Speeder Cop.;The Execution of Mary, Queen of Scots;Going to Bed Under Difficulties;The Red Spectre;Pedestrian Love;Den hvide Dame;Stuart Webbs: The Man in the Cellar;Jeunes filles d'hier et d'aujourd'hui
17;The Battle at Elderbush Gulch;In the Bushes;The Seducer;Guilt Redeemed;;The Hand That Rocks the Cradle;At the Floral Ball;Broncho Billy and the Settler's Daughter;The Merry Skeleton;The Madness of Dr. Tube;"The Jealous Doll; or, The Frustrated Elopement";The Cabbage-Patch Fairy;Grandma's Reading Glass;Rescued by Rover;Nero, or The Fall of Rome;Thru Trials to Victory;The Eyes of the Mummy;Pour le pays
18;The Painted Lady;The Open Eyes;The Pearl Necklace;Judge Not;;The Jew's Christmas;The Adventurer;A Close Call;The Monster;That Fatal Sneeze;Lightning Sketches;Dickson Experimental Sound Film;The Terrible Eruption of Mount Pelee and Destruction of St. Pierre, Martinique;The Thieving Hand;Dall'amore al disonore;Peace on Earth;The End of the Homunculus;Le passeur de l'Yser
19;The Mothering Heart;La vengeance du sergent de la ville;Only Once a Year;The Miracle;;The Twins;The Cabbage-Patch Fairy;Frozen on Love's Trail;The X-Ray Fiend;The Love Tragedy of the Homunculus;The Grasshopper and the Ant;A Nightmare;The Sick Kitten;The Story of the Kelly Gang;The Dread of Doom;Temptations of a Great City;The Revenge of the Homunculus;The Intrigue
20;The Massacre;The Roman Orgy;Cold Showers;The Voice of Passion;;For Husbands Only;Clown, Dog and Balloon;At the End of the Trail;The Treasures of Satan;The Airship Destroyer;The Magic Rosette;Monkeyshines, No. 1;The Enchanted Drawing;The Capture of Roma;L'ira;My Sister-in-Law from America;Fear;Les fiancés de 1914
21;Hoodoo Ann;Tragic Error;The Alarm;;;Fate;Le cireur distrait;The Tornado;The Devil and the Statue;Long Distance Wireless Photography;Matsumoto Fragment;The Photographical Congress Arrives in Lyon;The Countryman and the Cinematograph;The Living Playing Cards;The Legend of Saint Barbara;Paradise for the Lazy;Weine nicht, Mutter;Marraines de France
22;The Black Viper;Onesime, Clockmaker;Nelly Raintseva;;;Betty in Search of a Thrill;A Sticky Woman;The Aryan;Dr. Jekyll and Mr. Hyde;Onesime, Clockmaker;The Lily of Belgium;Edison Kinetoscopic Record of a Sneeze;The Fat and Lean Wrestling Match;Kiri-Kis;Julius Caesar;A Deal with the Devil;Zapata's Gang;Belgian Campaigns in Africa
23;The Indian Runner's Romance;S'affranchir - I - La conquête du bonheur;First Love;;;It's No Laughing Matter;A House Divided;White Fawn's Devotion: A Play Acted by a Tribe of Red Indians in America;The Avenging Conscience;Der Weltspiegel;Dreams of Toyland;Man Walking Around a Corner;The Monster;Ben Hur;The Last Days of Pompeii;Det gamle Købmandshjem;Die Abenteuer des Kapitän Hansen;La reéducation professionnelle des mutilées de la guerre en France
24;An Unseen Enemy;Le vainqueur de la course pédestre;Zagadochnyy mir;;;Captain Courtesy;Playing Trumps;The Bronze Bride;The Hallucinated Alchemist;The Automatic Motorist;Clown and His Dogs;The Conjurer;What Happened on Twenty-Third Street, New York City;The Consequences of Feminism;Jenny;Den lille Virtuos;Das Tor der Freiheit;Umanità
25;The Adventures of Dollie;The Nativity;Wicked Night;;;A Heroine of '76;The Coming of Sunbeam;Broncho Billy and the Western Girls;Hilde Warren and Death;The Secret Room;The Musician Monkey;Blacksmith Scene;Explosion of a Motor Car;The Assassination of the Duke de Guise;Pinocchio;Mr. Fabian is Rathunting;Der Schirm mit dem Schwan;Michel and Viktoria
26;The Avenging Conscience;Heart of Hearts;Life in Death;;;The Spider and Her Web;The Irresistible Piano;Madame Bo-Peep;The Spider and the Butterfly;Das andere Ich;Bewitched Matches;After the Ball;Let Me Dream Again;The Black Viper;The Clemenceau Affair;The Golden Horns;Seine Vergangenheit;Our Homeland's Trenches
27;The Burglar’s Dilemma;Tih-Minh: Mysteries of the Circe Villa;The Moon Beauty;;;A Cigarette - That's All;Midwife to the Upper Class;Whispering Smith;La ballata della strega;Clash of the Titans;He Never Objects to Noise;Boat Leaving the Port;History of a Crime;The Adventures of Dollie;Maciste la terreur des bandits;A Lively Dream;Dr. Schotte;Rentier Kulicke's Flug zur Front
28;In the Border States;Thaïs;Her Heroic Feat;;;False Colors;The Birth, the Life and the Death of Christ;By the Sun's Rays;Malombra;The Inventor Crazybrains and His Wonderful Airship;Bobby Bumps' Amusement Park;Dickson Greeting;Uncle Tom's Cabin;The Policemen's Little Run;The Warrior;The Strongest;Erblich belastet?;Hänschens Soldaten
29;The Life of General Villa;Les millions de la bonne;Leon Drey;;;Eyes That See Not;At the Hypnotist's;Straight Shooting;The End of the Homunculus;Alraune;He Was Not Ill, Only Unhappy;Annabelle Butterfly Dance;The Gay Shoe Clerk;New York Subway;Nero and Agrippina;Blind Justice;Shoe Palace Pinkus;War As It Really Is
30;The House of Darkness;The Seneschal's Diamond;Song of Triumphant Love;;;Borrowed Clothes;Alice Guy Films a 'Phonoscène' in the Studio at Buttes-Chaumont, Paris;Play Straight or Fight;The Revenge of the Homunculus;Life Without Soul;He Wants What He Wants When He Wants It;Horse Trick Riders;The Wonderful Living Fan;The Tango;La Moglie di Claudio;A Victim of the Mormons;The Artificial Man;The Battle of the Ancre and Advance of the Tanks
31;The Old Actor;The Exodus;Glory to Us, Death to the Enemy;;;The Doctor and the Woman;Serpentine Dance by Lina Esbrard;The Naming of the Rawhide Queen;Fear;Turn-of-the-Century Surgery;The Puppet's Nightmare;Accordion Player;A Chess Dispute;The Golden Beetle;L'Odissea;Lion Hunting;The Eskimo Baby;Nurse and Martyr
32;The Miser's Heart;The Seven Deadly Sins;The Happiness of Eternal Night;;;John Needham's Double;Matrimony's Speed Limit;The Deputy and the Girl;The Dream Woman;The Black Box;Matches: An Appeal;Snowball Fight;The Magic Book;Tunneling the English Channel;The War and the Dream of Momi;The Grass Widower;The Jolly Vagabonds;Outposts of Empire
33;A Trap for Santa Claus;Triple entente;A Revolutionary;;;Jewel;Wonderful Absinthe;A Westerner's Way;A Cry in the Night;A Trip to Jupiter;A.W.O.L.;The Sea;The Enchanted Well;Rescued from an Eagle's Nest;The Fall of Troy;The Indian Idol;Ringkämpfer;Pershing's Crusaders
34;Lucky Jim;Bout-de-Zan's Money-Box;The 1002nd Ruse;;;Hop - The Devil's Brew;Pierrette's Escapades;The Flower of the Ranch;The Haunted Curiosity Shop;Pirates of 1920;The Faithful Furniture;Playing Cards;The Treasures of Satan;The Spider and the Butterfly;Royal Tiger;Kong Haakons og Dronning Mauds Besøg i Danmark;Life Upon Life;The Unbeliever
35;The Female of the Species;Herr Doktor;Uncle's Apartment;;;The Mysterious Mrs. M;A Story Well Spun;Western Stage Coach Hold Up;Faust and Mephistopheles;Rescued in Mid-Air;The Dinosaur and the Missing Link: A Prehistoric Tragedy;A Terrible Night;Apparitions;The Scheming Gambler's Paradise;The Fire;A Homeless Bird;The Secret of the American Docks;100% American
36;The Face at the Window;Molière;Silent Witnesses;;;The Eye of God;The Dirigible 'Homeland';Men of the Desert;The Artificial Man;Police in the Year 2000;The War and the Dream of Momi;The Boxing Cats;As Seen Through a Telescope;The Malagueña and the Bullfighter;The Faun;Manicuredamen med det store Hjærte;Adamant's Last Race;In the Hands of the Enemy
37;The Greaser's Gauntlet;A Very Fine Lady;;;;Wanted- A Home;The O'Mers in 'The Bricklayers';The Telltale Knife;The Knight of the Snow;Ein neuer Erwerbszweig;Krazy Kat, Bugologist;Newark Athlete;Fire!;Guzmán the Good;Ashes;Digteren og basunblæseren;The Tenor, Inc.;
38;The Battle of the Sexes;A Four-Year-Old Heroine;;;;Sunshine Molly;Bathing in a Stream;Harold's Bad Man;Cleopatra's Tomb;Un viaggio in una stella;The Insects' Christmas;Falling Cat;The Devil and the Statue;The Counterfeiters;Home, Sweet Home;The Henpecked Husband’s Birthday;Ordinary Folk Life in Vienna;
39;Home Folks;Spring: Episode 2 - On the Ponds / The Love Conductor;;;;Lost by a Hair;Guillaume Tell;In the Days of the Thundering Herd;How It Feels to Be Run Over;Der Herr der Welt;R.F.D. 10,000 B.C.;Serpentine Dance;The Prince of Magicians;The Greaser's Gauntlet;Finally Alone!;Elves' Hill;Mene Tekel;
40;Lena and the Geese;Lagourdette, gentleman cambrioleur;;;;From Death to Life;Miss Dundee and Her Performing Dogs;Fatherhood;The Ghost Breaker;Homunkulieschen;Miniature Theatre;Monkeyshines, No. 2;Gulliver's Travels Among the Lilliputians and the Giants;Infantry and Cavalcade on the Occasion of the Young Turks;Wicked Enchantment;Midnatssjælen;Ein Ausgestoßener: 1. Teil;
41;Oh, Uncle!;Spring: Episode 1 - The Awakening of the Source / The Awakening of Nests;;;;The Picture of Dorian Gray;Fra Diavolo;The Conqueror;The Mysteries of Myra;Alraune and the Golem;Los que ligan;Sandow;Uncle Josh at the Moving Picture Show;A Visit to the Seaside;Satan;Through the Enemy's Lines;The Sky Monster;
42;The Peachbasket Hat;Custody of the Child;;;;On the Brink;The Empress;Where the Trail Divides;Sleepy Hollow;Lilith und Ly;La Nageuse;The Devil in a Convent;The Brahmin and the Butterfly;A Smoked Husband;If One Could See Into the Future;The Dangerous Age;Die Ratte;
43;A Smoked Husband;The Cleaning Man;;;;The Price;Mixed Pets;The Mormon;The Missing Bride;Marriage a la Carte;Le Jongleur;The Magician;A Fantastical Meal;Where the Breakers Roar;Lucrezia Borgia;Millionærdrengen;Das Opfer der Yella Rogesius;
44;Where the Breakers Roar;Bout-de-Zan et le cheminot;;;;The Rosary;My Madonna;'49–'17;The Love Tragedy of the Homunculus;Die Eisbraut;Bobby Bumps Helps Out a Book Agent;Cordeliers' Square in Lyon;The Magic Lantern;Avventura galante di un provinciale;Il re, le torri e gli alfieri;The Girl Behind the Counter;Gypsy Blood;
45;The Son's Return;For the Children;;;;Discontent;The Girl in the Arm-Chair;The Half-Breed;Portrait;Homunculus;Bobby Bumps at Fido's Birthday Party;Buffalo Running;How He Missed His Train;Marvellous Reversing;The Bells of Death;Hvor Sorgerne glemmes;Comic Encounter in the Djurgården;
46;Double Trouble;Bébé Corrects His Father;;;;A Japanese Idyll;An Obstacle Course;The Return of Draw Egan;The Mysterious Retort;The Intrigue;Bobby Bumps Adopts a Turtle;The Bewitched Inn;Ten Ladies in an Umbrella;Bokserparodi;Tweedledum as Aviator;The House of Ill Repute;At the Photographer's;
